000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000010001 // value = 0 , flag = 1, count = 1
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000010010 // value = 0 , flag = 1, count = 2
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000010011 // value = 0 , flag = 1, count = 3
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 1
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0 (disabled)
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000011000 // value = 0 , flag = 1, count = 8
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000000000 // value = 0 , flag = 0
000000000100000 // value = 1 , flag = 0
